,start_longitude,start_latitude,end_longitude,end_latitude,start_longitude_utm,start_latitude_utm,end_longitude_utm,end_latitude_utm,hour,daytype
44059,4.884580000000001,52.3308,4.99055,52.36084,120738.96609069247,482659.44289394066,127980.57049092303,485956.9848278709,23,weekday
44057,4.90073,52.36132,4.83914,52.37934,121862.59819863304,486047.6650620847,117682.45811830231,488082.5594386907,23,weekday
44048,4.90077,52.37307,4.92981,52.397729999999996,121874.09747518596,487354.98696646,123869.00403637462,490085.87024611596,23,weekday
44052,4.863659999999999,52.33664,4.87651,52.3655,119317.67840451233,483319.3057923414,120216.08863053683,486524.0925468496,23,weekday
44062,4.85192,52.35836,4.92278,52.37238,118535.39193928367,485741.76430360565,123372.45939480136,487268.38258890255,23,weekday
49340,4.8766099999999994,52.36391,4.89176,52.37466,120221.65330952531,486347.1367677574,121261.7376133156,487536.05173617555,23,weekday
49348,4.93646,52.35633,4.85947,52.344429999999996,124292.96026115745,485476.7265792363,119038.42141322195,484188.10827011854,23,weekday
49346,4.92703,52.35625,4.95491,52.30741,123650.48914480147,485471.862341004,125517.40263050943,480026.10477785004,23,weekday
49347,4.89574,52.37039,4.89866,52.401720000000005,121529.53884418117,487059.11298410245,121751.90015350615,490543.6509742628,23,weekday
49371,4.89176,52.37466,4.92983,52.39779,121261.7376133156,487536.05173617555,123870.40739354286,490092.5374874562,23,weekday
49363,4.91602,52.35151,4.86435,52.34509,122897.0084673586,484949.2956075436,119371.48662755272,484259.1314280922,23,weekday
49362,4.92615,52.3669,4.83831,52.37741,123598.07719755867,486657.1947720327,117624.31788338452,487868.25004097546,23,weekday
49369,4.880809999999999,52.38454,4.9221,52.34599,120523.76572901043,488640.4854613165,123307.30960131633,484332.4498682445,23,weekday
49367,4.8807,52.3879,4.89109,52.40403,120518.88989036178,489014.3824116821,121238.48598290012,490804.1706865573,23,weekday
49364,4.87944,52.38369,4.91436,52.36864,120429.83206325732,488546.5643964434,122796.34365134366,486855.9661476567,23,weekday
49375,4.89281,52.35774,4.90144,52.3509,121320.39648580176,485652.994915328,121903.19103005267,484887.98280598264,23,weekday
